Date,Site,Site_Date,ammonium,nitrite,nitrate,phosphate,silicate,Description
9/24/18,Tomasa,Tom_T0,4.5166,0.0558,0.7645,0.6553,16.333233,Seawater
9/24/18,Tomasa,Tom_T0,4.878,0.0556,0.7446,0.6553,16.717015,Seawater
9/24/18,Lucero,Luc_T0,3.5184,0.0358,0.5988,0.453,16.102963,Seawater
9/24/18,Lucero,Luc_T0,1.9442,0.0159,0.6186,0.453,15.258642,Seawater
9/24/18,Malilnep,Mal_T0,2.4522,0.0556,0.6133,0.0482,15.638093,Seawater
9/24/18,Malilnep,Mal_T0,2.0157,0.0358,0.6675,0.0482,15.78944,Seawater
9/24/18,Silaki,Sil_T0,3.5184,0.0325,0.5988,0.1494,15.256476,Seawater
9/24/18,Silaki,Sil_T0,3.3842,0.0626,0.6186,0.1494,15.872694,Seawater
9/24/18,ASEAN,ASEAN_T0,3.88059,1.1955,0.96766,0.15794,NA,Seawater
9/24/18,ASEAN,ASEAN_T0,3.88059,1.1955,0.96766,0.15794,NA,Seawater
10/16/18,Tomasa,Tom_T1,9.4522,0.0858,0.7988,0.4024,11.8046,Seawater
10/16/18,Tomasa,Tom_T1,10.1015,0.0859,0.7843,0.5036,9.501905,Seawater
10/16/18,Lucero,Luc_T1,7.2393,0.0755,0.5994,0.453,5.357055,Seawater
10/16/18,Lucero,Luc_T1,7.5309,0.0755,0.5994,0.4024,4.743003,Seawater
10/16/18,Malilnep,Mal_T1,3.742,0.0159,0.5843,0.0482,3.262973,Seawater
10/16/18,Malilnep,Mal_T1,5.522,0.0159,0.5843,0.0482,2.418652,Seawater
10/16/18,Silaki,Sil_T1,3.5184,0.0325,0.5994,0.0402,3.262973,Seawater
10/16/18,Silaki,Sil_T1,3.3842,0.0626,0.5843,0.0482,2.418652,Seawater
10/16/18,ASEAN,ASEAN_T1,3.88059,1.1955,0.96766,0.15794,NA,Seawater
10/16/18,ASEAN,ASEAN_T1,3.88059,1.1955,0.96766,0.15794,NA,Seawater
11/7/18,Tomasa,Tom_T2,4.3055,0.0953,0.6079,0.6047,4.58949,clam
11/7/18,Tomasa,Tom_T2,2.1588,0.0953,0.6766,0.7059,2.133282,clam
11/7/18,Lucero,Luc_T2,2.0873,0.0159,0.653,0.2506,3.745168,clam
11/7/18,Lucero,Luc_T2,2.8744,0.0159,0.5843,0.1494,2.977604,clam
11/7/18,Malilnep,Mal_T2,2.3753,0.0159,0.6186,0.0988,2.967735,clam
11/7/18,Malilnep,Mal_T2,2.1588,0.0556,0.5446,0.0482,2.890019,clam
11/7/18,Silaki,Sil_T2,2.8744,0.0159,0.5843,0.0988,2.435977,clam
11/7/18,Silaki,Sil_T2,2.3753,0.0159,0.5446,0.0482,2.438142,clam
11/7/18,ASEAN,ASEAN_T2,3.88059,1.1955,0.96766,0.15794,NA,Seawater
11/7/18,ASEAN,ASEAN_T2,3.88059,1.1955,0.96766,0.15794,NA,Seawater
11/19/18,Tomasa,Tom_T3,4.4468,0.0956,0.5103,1.0601,8.395789,clam
11/19/18,Tomasa,Tom_T3,4.0908,0.0953,0.6079,1.0601,8.043532,clam
11/19/18,Lucero,Luc_T3,4.3055,0.0556,0.5789,0.7565,4.35922,clam
11/19/18,Lucero,Luc_T3,3.0175,0.0556,0.5103,0.6047,3.975438,clam
11/19/18,Malilnep,Mal_T3,3.7366,0.0556,0.5446,0.0482,4.128951,clam
11/19/18,Malilnep,Mal_T3,3.5184,0.0159,0.5873,0.0482,3.668412,clam
11/19/18,Silaki,Sil_T3,3.025641,0.01848691,0.1825754,0.195,3.853846,clam
11/19/18,Silaki,Sil_T3,3.153846,0.01643135,0.2029459,0.26,3.253846,clam
11/19/18,ASEAN,ASEAN_T3,3.88059,1.1955,0.96766,0.15794,NA,Seawater
11/19/18,ASEAN,ASEAN_T3,3.88059,1.1955,0.96766,0.15794,NA,Seawater
11/25/18,Tomasa,Tom_T4,3.487179,0.4568254,0.4653951,0.89,6.623077,clam
11/25/18,Tomasa,Tom_T4,4.042735,0.23032047,0.4616209,0.16,5.584615,clam
11/25/18,Lucero,Luc_T4,2.931624,0.19259803,0.4019075,0.26,5.638462,clam
11/25/18,Lucero,Luc_T4,2.675214,0.18643135,0.1663159,0.275,5.538462,clam
11/25/18,Malilnep,Mal_T4,2.632479,0.09259803,0.1571974,0.16,3.184615,clam
11/25/18,Malilnep,Mal_T4,2.794872,0.12137585,0.483916,0.16,4.961538,clam
11/25/18,Silaki,Sil_T4,2.025641,0.10287582,0.1571974,0.16,5.346154,clam
11/25/18,Silaki,Sil_T4,2.153846,0.11315362,0.1423604,0.16,4.961538,clam
11/25/18,ASEAN,ASEAN_T4,3.88059,1.1955,0.96766,0.15794,NA,Seawater
11/25/18,ASEAN,ASEAN_T4,3.88059,1.1955,0.96766,0.15794,NA,Seawater
